Timestamp,ksurf-master1 CPU (m),ksurf-master1 Memory (MiB),ksurf-producer-aea9655c CPU (m),ksurf-producer-aea9655c Memory (MiB),ksurf-worker2-27aec434 CPU (m),ksurf-worker2-27aec434 Memory (MiB),ksurf-producer1-ede6efb4 CPU (m),ksurf-producer1-ede6efb4 Memory (MiB)
2024-12-14 00:24:11,768,3088,1229,2919,9,696,-,-
2024-12-14 00:24:14,757,3089,1316,2671,27,695,-,-
2024-12-14 00:24:16,757,3089,1316,2671,27,695,-,-
2024-12-14 00:24:18,757,3089,1316,2671,27,695,-,-
2024-12-14 00:24:20,757,3089,1316,2671,27,695,-,-
2024-12-14 00:24:22,757,3089,1316,2671,27,695,-,-
2024-12-14 00:24:25,757,3089,1316,2671,27,695,-,-
2024-12-14 00:24:27,757,3089,1316,2671,27,695,-,-
2024-12-14 00:24:29,754,3089,1718,2942,8,696,-,-
2024-12-14 00:24:31,754,3089,1718,2942,8,696,-,-
2024-12-14 00:24:33,754,3089,1718,2942,8,696,-,-
2024-12-14 00:24:35,754,3089,1718,2942,8,696,-,-
2024-12-14 00:24:38,754,3089,1718,2942,8,696,-,-
2024-12-14 00:24:40,754,3089,1718,2942,8,696,-,-
2024-12-14 00:24:42,766,3093,1197,2648,32,696,-,-
2024-12-14 00:24:44,766,3093,1197,2648,32,696,-,-
2024-12-14 00:24:46,766,3093,1197,2648,32,696,-,-
2024-12-14 00:24:49,766,3093,1197,2648,32,696,-,-
2024-12-14 00:24:51,766,3093,1197,2648,32,696,-,-
2024-12-14 00:24:53,766,3093,1197,2648,32,696,-,-
2024-12-14 00:24:55,766,3093,1197,2648,32,696,-,-
2024-12-14 00:24:57,794,3096,1407,2673,15,696,-,-
2024-12-14 00:25:00,794,3096,1407,2673,15,696,-,-
2024-12-14 00:25:02,794,3096,1407,2673,15,696,-,-
2024-12-14 00:25:04,794,3096,1407,2673,15,696,-,-
2024-12-14 00:25:06,794,3096,1407,2673,15,696,-,-
2024-12-14 00:25:08,794,3096,1407,2673,15,696,-,-
2024-12-14 00:25:10,794,3096,1407,2673,15,696,-,-
2024-12-14 00:25:13,758,3097,978,2648,25,695,-,-
2024-12-14 00:25:15,758,3097,978,2648,25,695,-,-
2024-12-14 00:25:17,758,3097,978,2648,25,695,-,-
2024-12-14 00:25:19,758,3097,978,2648,25,695,-,-
2024-12-14 00:25:21,758,3097,978,2648,25,695,-,-
2024-12-14 00:25:24,758,3097,978,2648,25,695,-,-
2024-12-14 00:25:26,758,3097,978,2648,25,695,-,-
2024-12-14 00:25:28,763,3097,1003,2648,184,744,-,-
2024-12-14 00:25:30,763,3097,1003,2648,184,744,-,-
2024-12-14 00:25:32,763,3097,1003,2648,184,744,-,-
2024-12-14 00:25:34,763,3097,1003,2648,184,744,-,-
